Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),Pos
1,690,1,Apr 8,LAD,@,COL,W5-3,CG,5,5,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,.200,.200,.200,.400,3,1.18,0.008,1.17,0.01%,-0.42,5.00,6.50,SS
2,691,2,Apr 9,LAD,@,COL,L2-3,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.222,.222,.222,.444,3,1.42,-0.007,1.48,0.00%,-0.16,3.00,3.00,SS
3,692,3,Apr 10,LAD,@,COL,L4-9,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.231,.231,.231,.462,3,.94,-0.079,.93,-0.05%,-0.81,3.00,3.00,SS
4,693,4,Apr 12,LAD,@,MIN,W7-2,CG,5,5,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.222,.222,.222,.444,3,1.23,0.073,1.11,0.04%,-0.50,7.00,9.70,SS
5,694,5,Apr 13,LAD,@,MIN,W7-0,CG,5,3,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,.238,.261,.238,.499,3,.82,0.082,.74,0.04%,0.63,14.00,18.70,SS
6,695,6,Apr 14,LAD,,CIN,W9-3,CG,5,5,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.269,.286,.269,.555,3,.89,0.206,.87,0.12%,1.01,12.00,15.90,SS
7,696,7,Apr 15,LAD,,CIN,W3-1,CG,4,4,0,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,.300,.313,.367,.679,3,.72,0.072,.75,0.05%,0.55,18.00,21.50,SS
8,697,8,Apr 16,LAD,,CIN,W5-2,CG,4,4,1,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.353,.361,.500,.861,1,1.02,0.238,1.06,0.15%,2.43,22.00,28.20,SS
9,698,9,Apr 17,LAD,,CIN,W9-1,CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.316,.341,.447,.789,3,.46,0.049,.47,0.03%,-0.99,4.00,6.20,SS
10,699,10,Apr 18,LAD,,ATL,W7-4,CG,4,4,0,1,1,0,0,3,0,0,2,0,0,0,0,0,1,0,.310,.333,.452,.786,3,1.10,0.051,1.22,0.03%,1.96,16.00,22.50,SS
11,700,11,Apr 19,LAD,,ATL,L1-3,CG,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.311,.333,.444,.778,3,.43,-0.009,.49,-0.01%,-0.09,3.00,3.00,SS
12,701,12,Apr 20,LAD,,ATL,W5-1,CG,4,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,.292,.327,.417,.744,3,.45,-0.005,.50,0.00%,-0.66,2.00,3.00,SS
13,702,13,Apr 22,LAD,@,SDP,W6-1,CG,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.283,.316,.396,.712,3,1.24,-0.046,1.53,-0.03%,-0.30,5.00,6.20,SS
14,703,14,Apr 23,LAD,@,SDP,L2-3,CG(10),4,4,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,.281,.311,.404,.715,3,1.36,0.279,1.74,0.21%,1.26,9.00,13.00,SS
15,704,15,Apr 24,LAD,@,SDP,W10-2,GS-7,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.279,.308,.393,.701,3,.69,-0.018,.86,-0.01%,0.53,7.00,9.70,SS
16,705,16,Apr 25,LAD,@,ARI,W4-0,CG,4,4,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.277,.304,.400,.704,3,.96,0.022,1.17,0.02%,-0.02,9.00,13.00,SS
17,706,17,Apr 26,LAD,@,ARI,L3-5,CG,4,2,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,.284,.329,.403,.732,3,1.26,0.028,1.53,0.02%,0.57,9.00,12.20,SS
18,707,18,Apr 27,LAD,@,ARI,L1-3,CG,4,4,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.296,.338,.423,.760,3,1.26,0.227,1.43,0.16%,0.78,10.00,12.50,SS
19,708,19,Apr 29,LAD,,DET,W5-1,CG,4,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,.288,.333,.411,.744,3,.43,-0.041,.47,-0.03%,-0.63,9.00,12.50,SS
20,709,20,Apr 30,LAD,,DET,L1-5,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.276,.329,.395,.724,3,.91,-0.044,.97,-0.03%,-0.50,2.00,3.00,SS
21,710,21,May 1,LAD,,DET,W6-3,CG,4,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.263,.315,.375,.690,3,.69,-0.023,.75,-0.02%,-0.73,2.00,3.50,SS
22,711,22,May 3,LAD,,SFG,W3-1,CG,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.262,.312,.381,.693,3,.38,-0.007,.48,-0.01%,-0.38,5.00,6.00,SS
23,712,23,May 4,LAD,,SFG,W9-1,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.261,.309,.375,.684,3,.83,0.138,1.05,0.10%,0.71,5.00,6.50,SS
24,713,24,May 7 (1),LAD,@,CHC,W7-0,GS-8,4,3,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.275,.327,.385,.711,3,.84,0.029,.96,0.02%,0.98,12.00,15.70,SS
25,714,25,May 7 (2),LAD,@,CHC,W6-2,CG,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.260,.311,.365,.676,3,.43,-0.056,.50,-0.04%,-1.05,0.00,0.00,SS
26,715,26,May 8,LAD,@,CHC,W7-1,CG,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.250,.306,.350,.656,3,1.02,-0.001,1.18,0.00%,0.24,4.00,6.20,SS
27,716,27,May 9,LAD,@,PIT,L1-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.250,.304,.346,.651,3,1.73,-0.115,2.02,-0.08%,-0.82,3.00,3.00,SS
28,717,28,May 10,LAD,@,PIT,W11-1,CG,5,4,2,2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,.259,.317,.361,.678,3,.46,0.127,.54,0.09%,1.15,21.00,27.90,SS
29,718,29,May 11,LAD,@,PIT,L3-5,CG,5,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,.259,.320,.366,.686,1,1.24,0.057,1.45,0.04%,0.30,7.00,9.00,SS
30,719,30,May 12,LAD,,PHI,L7-9,CG,5,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.276,.338,.379,.718,3,.89,0.179,1.08,0.13%,1.54,15.00,18.40,SS
31,720,31,May 13,LAD,,PHI,L10-12,CG(10),6,5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,.273,.338,.372,.710,3,2.38,0.028,2.88,0.02%,-0.15,7.00,9.50,SS
32,721,32,May 14,LAD,,PHI,L3-8,CG,4,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.272,.336,.376,.712,3,.38,0.019,.46,0.01%,-0.23,5.00,6.00,SS
33,722,33,May 15,LAD,,PHI,W5-4,CG,4,3,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,.273,.340,.383,.723,3,1.80,-0.216,2.24,-0.16%,-0.54,14.00,18.20,SS
34,723,34,May 16,LAD,,ARI,W5-4,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.275,.345,.382,.726,3,1.02,0.064,1.30,0.05%,0.30,5.00,6.00,SS
35,724,35,May 17 (1),LAD,,ARI,W7-6,CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.274,.342,.400,.742,3,.84,0.117,1.07,0.09%,0.22,14.00,18.70,SS
36,725,36,May 17 (2),LAD,,ARI,W12-3,GS-6,4,4,1,2,0,0,0,4,0,0,1,0,0,0,1,0,0,0,.281,.346,.403,.749,3,.72,0.111,.90,0.08%,1.77,16.00,23.20,SS
37,726,37,May 18,LAD,,ARI,W5-3,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,.280,.344,.399,.742,3,.68,-0.050,.84,-0.04%,-0.36,8.00,9.00,SS
38,727,38,May 20,LAD,@,PHI,W4-1,CG,5,2,0,1,1,0,0,1,2,0,1,0,0,1,0,0,1,0,.283,.352,.407,.758,3,.46,0.060,.55,0.04%,0.77,16.00,21.50,SS
39,728,39,May 21,LAD,@,PHI,W7-4,CG,5,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.280,.347,.400,.747,3,1.18,-0.040,1.41,-0.03%,-0.63,3.00,3.00,SS
40,729,40,May 22,LAD,@,PHI,L3-4,CG(10),5,5,0,3,1,0,0,1,0,0,2,0,0,0,0,0,0,0,.290,.354,.413,.767,3,1.26,0.362,1.47,0.25%,1.86,13.00,15.50,SS
41,730,41,May 23,LAD,@,WSN,W10-1,GS-6,4,4,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,.289,.352,.409,.761,3,.56,-0.010,.61,-0.01%,0.48,9.00,13.50,SS
42,731,42,May 24,LAD,@,WSN,W9-4,CG,5,4,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.288,.353,.423,.777,3,.39,0.159,.44,0.11%,1.35,18.00,25.20,SS
43,732,43,May 25,LAD,@,WSN,L0-1,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,.289,.356,.422,.778,1,1.42,0.051,1.53,0.03%,0.02,15.00,18.00,SS
44,733,44,May 26,LAD,@,ARI,W14-1,GS-6,4,4,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.294,.359,.435,.795,3,.34,-0.006,.42,0.00%,0.92,15.00,18.70,SS
45,734,45,May 27,LAD,@,ARI,W6-4,CG,4,4,1,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.299,.362,.454,.816,3,.60,0.032,.69,0.02%,1.19,19.00,25.20,SS
46,735,46,May 28,LAD,@,ARI,W3-2,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,.298,.360,.449,.809,3,1.32,0.075,1.50,0.05%,0.32,5.00,6.50,SS
47,736,47,May 29,LAD,@,ARI,W3-1,CG,4,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,.297,.358,.445,.803,3,.63,-0.001,.68,0.00%,-0.48,5.00,6.50,SS
48,737,48,May 30,LAD,,PIT,L5-6,CG,5,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.294,.354,.444,.798,3,2.61,-0.080,2.72,-0.05%,-0.72,7.00,9.20,SS
49,738,49,May 31,LAD,,PIT,L3-5,CG,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.298,.357,.461,.818,3,1.23,0.064,1.24,0.04%,1.34,19.00,25.20,SS
50,739,50,Jun 1,LAD,,PIT,L4-8,CG,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,.297,.355,.462,.816,3,1.77,-0.342,1.93,-0.22%,-1.71,7.00,9.20,SS
51,740,51,Jun 2,LAD,,NYM,W2-0,CG,4,4,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,.296,.353,.462,.815,3,1.09,-0.034,1.36,-0.03%,-0.51,7.00,9.20,SS
52,741,52,Jun 3,LAD,,NYM,W6-1,CG,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.300,.356,.463,.819,3,.45,0.016,.53,0.01%,0.53,8.00,9.50,SS
53,742,53,Jun 4,LAD,,NYM,L4-9,CG,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.295,.349,.454,.803,3,.90,-0.105,1.02,-0.07%,-1.03,0.00,0.00,SS
54,743,54,Jun 5,LAD,,NYM,L4-5,CG(10),5,4,1,2,0,0,1,2,0,0,2,0,0,0,0,0,1,0,.299,.352,.469,.821,3,2.86,0.178,3.43,0.13%,1.34,24.00,31.20,SS
55,744,55,Jun 7,LAD,@,CHW,L0-4,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,.299,.354,.467,.822,3,.56,0.017,.62,0.01%,0.74,10.00,12.00,SS
56,745,56,Jun 8,LAD,@,CHW,W4-1,CG,4,4,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.303,.357,.482,.838,3,.41,0.030,.47,0.02%,0.77,19.00,24.90,SS
57,746,57,Jun 9,LAD,@,CHW,W11-9,CG,5,4,2,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,.302,.358,.477,.835,3,1.39,0.069,1.57,0.05%,0.49,16.00,21.90,SS
58,747,58,Jun 10,LAD,@,SFG,L2-7,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.301,.356,.473,.829,3,.74,-0.010,.91,-0.01%,-0.11,3.00,3.00,SS
59,748,59,Jun 11,LAD,@,SFG,L2-3,CG,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.299,.353,.468,.820,3,2.23,-0.219,2.80,-0.17%,-2.13,3.00,3.00,SS
60,749,60,Jun 12,LAD,@,SFG,L0-2,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.298,.351,.464,.815,3,1.00,-0.028,1.37,-0.02%,-0.36,3.00,3.00,SS
61,750,61,Jun 14,LAD,,LAA,W2-0,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.297,.350,.460,.810,3,.75,0.002,.88,0.00%,-0.26,3.00,3.00,SS
62,751,62,Jun 15,LAD,,LAA,W4-1,CG,4,3,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,.298,.352,.471,.823,3,.49,0.067,.56,0.05%,0.84,18.00,24.90,SS
